Data versioning,Model,Label,Training time,Test time,ACC,ACC balanced,MCC,CohenKappa,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test - smote+nopreprocess,Naive Bayes,1,,,,,,,,,,,1431,3176,5,17,0.3106,0.7727,0.9965,0.0053
Scale hba1c in test - smote+nopreprocess,LogisticRegression,0,26.4822,0.0021,0.6876,0.6109,0.2352,0.2331,0.6151,0.6785,0.686,0.4878,2596,849,597,587,0.7536,0.4958,0.813,0.4088
Scale hba1c in test - smote+nopreprocess,LogisticRegression,1,,,,,,,,,,,587,597,849,2596,0.4958,0.7536,0.4088,0.813
Scale hba1c in test - smote+nopreprocess,ElasticNetLR,0,23.0655,0.0027,0.6219,0.634,0.2481,0.2328,0.6047,0.636,0.6877,0.4852,1923,480,1270,956,0.8002,0.4295,0.6023,0.6657
Scale hba1c in test - smote+nopreprocess,ElasticNetLR,1,,,,,,,,,,,956,1270,480,1923,0.4295,0.8002,0.6657,0.6023
Scale hba1c in test - smote+nopreprocess,Stacking,0,39.5689,0.3556,0.674,0.6796,0.3342,0.3204,0.6535,0.6855,0.7511,0.5763,2123,439,1070,997,0.8286,0.4823,0.6649,0.6943
Scale hba1c in test - smote+nopreprocess,Stacking,1,,,,,,,,,,,997,1070,439,2123,0.4823,0.8286,0.6943,0.6649
Scale hba1c in test - nosmote+nopreprocess,LightGBM,0,0.4504,0.0163,0.7181,0.6788,0.3521,0.3518,0.6758,0.7202,0.7537,0.5764,2498,610,695,826,0.8037,0.5431,0.7823,0.5752
Scale hba1c in test - nosmote+nopreprocess,LightGBM,1,,,,,,,,,,,826,695,610,2498,0.5431,0.8037,0.5752,0.7823
Scale hba1c in test - nosmote+nopreprocess,XGBoost,0,0.2015,0.0065,0.7192,0.6774,0.3511,0.351,0.6754,0.7207,0.7524,0.5734,2514,621,679,815,0.8019,0.5455,0.7873,0.5675
Scale hba1c in test - nosmote+nopreprocess,XGBoost,1,,,,,,,,,,,815,679,621,2514,0.5455,0.8019,0.5675,0.7873
Scale hba1c in test - nosmote+nopreprocess,GradientBoosting_80,0,4.628,0.028,0.7215,0.6612,0.3322,0.3313,0.6653,0.7174,0.7469,0.57,2619,715,574,721,0.7855,0.5568,0.8202,0.5021
Scale hba1c in test - nosmote+nopreprocess,GradientBoosting_80,1,,,,,,,,,,,721,574,715,2619,0.5568,0.7855,0.5021,0.8202
Scale hba1c in test - nosmote+nopreprocess,RandomForest,0,6.0654,0.2521,0.7196,0.6678,0.3388,0.3387,0.6693,0.7183,0.7413,0.5567,2568,673,625,763,0.7923,0.5497,0.8043,0.5313
Scale hba1c in test - nosmote+nopreprocess,RandomForest,1,,,,,,,,,,,763,625,673,2568,0.5497,0.7923,0.5313,0.8043
Scale hba1c in test - nosmote+nopreprocess,Naive Bayes,0,0.0101,0.0077,0.3115,0.5002,0.0029,0.0002,0.2398,0.1511,0.5991,0.3903,10,4,3183,1432,0.7143,0.3103,0.0031,0.9972
Scale hba1c in test - nosmote+nopreprocess,Naive Bayes,1,,,,,,,,,,,1432,3183,4,10,0.3103,0.7143,0.9972,0.0031
Scale hba1c in test - nosmote+nopreprocess,LogisticRegression,0,0.8515,0.0036,0.5625,0.6183,0.2237,0.188,0.5591,0.5738,0.6854,0.4878,1505,337,1688,1099,0.817,0.3943,0.4713,0.7653
Scale hba1c in test - nosmote+nopreprocess,LogisticRegression,1,,,,,,,,,,,1099,1688,337,1505,0.3943,0.817,0.7653,0.4713
Scale hba1c in test - nosmote+nopreprocess,ElasticNetLR,0,3.8948,0.0028,0.6766,0.6263,0.2506,0.2505,0.6252,0.6779,0.6905,0.4919,2423,727,770,709,0.7692,0.4794,0.7588,0.4937
Scale hba1c in test - nosmote+nopreprocess,ElasticNetLR,1,,,,,,,,,,,709,770,727,2423,0.4794,0.7692,0.4937,0.7588
Scale hba1c in test - nosmote+nopreprocess,Stacking,0,9.133,0.2524,0.7213,0.683,0.3602,0.3599,0.6798,0.7236,0.7548,0.5795,2503,600,690,836,0.8066,0.5478,0.7839,0.5822
Scale hba1c in test - nosmote+nopreprocess,Stacking,1,,,,,,,,,,,836,690,600,2503,0.5478,0.8066,0.5822,0.7839
