Data versioning,Model,Label,Training time,Test time,ACC,ACC balanced,MCC,CohenKappa,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test - smote+nopreprocess,ElasticNetLR,0,22.9515,0.0024,0.6245,0.6307,0.2424,0.2296,0.6049,0.6383,0.6882,0.4861,1962,507,1231,929,0.7947,0.4301,0.6145,0.6469
Scale hba1c in test - smote+nopreprocess,ElasticNetLR,1,,,,,,,,,,,929,1231,507,1962,0.4301,0.7947,0.6469,0.6145
Scale hba1c in test - smote+nopreprocess,Stacking,0,33.7145,0.4169,0.682,0.6823,0.3406,0.3292,0.6593,0.6927,0.7498,0.5755,2176,455,1017,981,0.8271,0.491,0.6815,0.6831
Scale hba1c in test - smote+nopreprocess,Stacking,1,,,,,,,,,,,981,1017,455,2176,0.491,0.8271,0.6831,0.6815
Scale hba1c in test - nosmote+nopreprocess,LightGBM,0,0.4569,0.0148,0.7176,0.6754,0.3473,0.3471,0.6735,0.7191,0.7515,0.5727,2512,626,681,810,0.8005,0.5433,0.7867,0.5641
Scale hba1c in test - nosmote+nopreprocess,LightGBM,1,,,,,,,,,,,810,681,626,2512,0.5433,0.8005,0.5641,0.7867
Scale hba1c in test - nosmote+nopreprocess,XGBoost,0,0.1865,0.0064,0.7142,0.6717,0.3398,0.3396,0.6698,0.7157,0.7478,0.5692,2502,632,691,804,0.7983,0.5378,0.7836,0.5599
Scale hba1c in test - nosmote+nopreprocess,XGBoost,1,,,,,,,,,,,804,691,632,2502,0.5378,0.7983,0.5599,0.7836
Scale hba1c in test - nosmote+nopreprocess,GradientBoosting_80,0,5.2253,0.037,0.7218,0.6596,0.3304,0.3293,0.6642,0.7169,0.7455,0.5681,2629,724,564,712,0.7841,0.558,0.8234,0.4958
Scale hba1c in test - nosmote+nopreprocess,GradientBoosting_80,1,,,,,,,,,,,712,564,724,2629,0.558,0.7841,0.4958,0.8234
Scale hba1c in test - nosmote+nopreprocess,RandomForest,0,6.9773,0.2747,0.7215,0.6702,0.3435,0.3434,0.6717,0.7202,0.7376,0.5536,2572,668,621,768,0.7938,0.5529,0.8055,0.5348
Scale hba1c in test - nosmote+nopreprocess,RandomForest,1,,,,,,,,,,,768,621,668,2572,0.5529,0.7938,0.5348,0.8055
Scale hba1c in test - nosmote+nopreprocess,Naive Bayes,0,0.013,0.0082,0.3109,0.5005,0.0171,0.0006,0.2378,0.1483,0.5986,0.3892,3,0,3190,1436,1.0,0.3104,0.0009,1.0
Scale hba1c in test - nosmote+nopreprocess,Naive Bayes,1,,,,,,,,,,,1436,3190,0,3,0.3104,1.0,1.0,0.0009
Scale hba1c in test - nosmote+nopreprocess,LogisticRegression,0,1.1062,0.0043,0.5837,0.6262,0.2355,0.206,0.577,0.5972,0.6859,0.4893,1642,376,1551,1060,0.8137,0.406,0.5142,0.7382
Scale hba1c in test - nosmote+nopreprocess,LogisticRegression,1,,,,,,,,,,,1060,1551,376,1642,0.406,0.8137,0.7382,0.5142
Scale hba1c in test - nosmote+nopreprocess,ElasticNetLR,0,9.0418,0.0045,0.6768,0.6263,0.2506,0.2506,0.6253,0.678,0.6905,0.4918,2425,728,768,708,0.7691,0.4797,0.7595,0.493
Scale hba1c in test - nosmote+nopreprocess,ElasticNetLR,1,,,,,,,,,,,708,768,728,2425,0.4797,0.7691,0.493,0.7595
Scale hba1c in test - nosmote+nopreprocess,Stacking,0,10.8434,0.2706,0.7202,0.6813,0.3571,0.3568,0.6783,0.7224,0.7522,0.578,2503,605,690,831,0.8053,0.5464,0.7839,0.5787
Scale hba1c in test - nosmote+nopreprocess,Stacking,1,,,,,,,,,,,831,690,605,2503,0.5464,0.8053,0.5787,0.7839
