Data versioning,Model,Label,Training time,Test time,ACC,ACC balanced,MCC,CohenKappa,F1_macro,F1_weighted,ROC_AUC,PR_AUC,TP,FP,FN,TN,PPV,NPV,SEN,SPE
Scale hba1c in test - nosmote+nopreprocess,GradientBoosting_80,0,2.189,0.0081,0.7238,0.5944,0.269,0.2269,0.5924,0.6794,0.7359,0.5591,1962,711,128,237,0.734,0.6493,0.9388,0.25
Scale hba1c in test - nosmote+nopreprocess,GradientBoosting_80,1,,,,,,,,,,,237,128,711,1962,0.6493,0.734,0.25,0.9388
Scale hba1c in test - nosmote+nopreprocess,RandomForest,0,2.965,0.0745,0.7344,0.6225,0.3125,0.2837,0.6297,0.7037,0.7324,0.5466,1923,640,167,308,0.7503,0.6484,0.9201,0.3249
Scale hba1c in test - nosmote+nopreprocess,RandomForest,1,,,,,,,,,,,308,167,640,1923,0.6484,0.7503,0.3249,0.9201
Scale hba1c in test - nosmote+nopreprocess,Naive Bayes,0,0.006,0.0021,0.6234,0.5733,0.1435,0.1432,0.5712,0.6275,0.6129,0.3978,1477,531,613,417,0.7356,0.4049,0.7067,0.4399
Scale hba1c in test - nosmote+nopreprocess,Naive Bayes,1,,,,,,,,,,,417,613,531,1477,0.4049,0.7356,0.4399,0.7067
Scale hba1c in test - nosmote+nopreprocess,LogisticRegression,0,0.3766,0.0016,0.6955,0.5533,0.1635,0.1308,0.5361,0.6383,0.6673,0.4724,1947,782,143,166,0.7134,0.5372,0.9316,0.1751
Scale hba1c in test - nosmote+nopreprocess,LogisticRegression,1,,,,,,,,,,,166,143,782,1947,0.5372,0.7134,0.1751,0.9316
Scale hba1c in test - nosmote+nopreprocess,ElasticNetLR,0,3.266,0.0019,0.6955,0.5363,0.1387,0.093,0.5003,0.6177,0.6622,0.463,2006,841,84,107,0.7046,0.5602,0.9598,0.1129
Scale hba1c in test - nosmote+nopreprocess,ElasticNetLR,1,,,,,,,,,,,107,84,841,2006,0.5602,0.7046,0.1129,0.9598
Scale hba1c in test - nosmote+nopreprocess,SVM,0,209.194,5.3386,0.6824,0.5184,0.0736,0.0474,0.4722,0.5974,0.5747,0.3771,1995,870,95,78,0.6963,0.4509,0.9545,0.0823
Scale hba1c in test - nosmote+nopreprocess,SVM,1,,,,,,,,,,,78,95,870,1995,0.4509,0.6963,0.0823,0.9545
Scale hba1c in test - nosmote+nopreprocess,Stacking,0,12.0789,0.2478,0.7314,0.6252,0.3086,0.2859,0.6332,0.7045,0.7435,0.5726,1897,623,193,325,0.7528,0.6274,0.9077,0.3428
Scale hba1c in test - nosmote+nopreprocess,Stacking,1,,,,,,,,,,,325,193,623,1897,0.6274,0.7528,0.3428,0.9077
